timestep,mean_fractional_change,median_fractional_change,p25_fractional_change,p75_fractional_change,iqr_fractional_change,n_files
4400,-0.06245416327838111,-0.067816091954023,-0.11708144796380093,0.0,0.11708144796380093,250
4450,-0.0634883580491276,-0.06896551724137934,-0.11708144796380093,0.0,0.11708144796380093,250
4500,-0.06408751148828105,-0.06896551724137934,-0.11708144796380093,0.0,0.11708144796380093,250
4550,-0.06454321041301224,-0.06896551724137934,-0.11941176470588236,0.0,0.11941176470588236,250
4600,-0.06552166159146341,-0.0714285714285714,-0.12,0.0,0.12,250
4650,-0.06594862488401068,-0.0714285714285714,-0.12,0.0,0.12,250
4700,-0.06724511193962818,-0.0714285714285714,-0.12,0.0,0.12,250
4750,-0.06854176324531175,-0.0714285714285714,-0.12,0.0,0.12,250
4800,-0.08722445516825629,-0.08695652173913049,-0.14814814814814814,-0.03739316239316243,0.11075498575498571,250
4850,-0.08977714238885955,-0.08893280632411071,-0.14814814814814814,-0.038461538461538436,0.1096866096866097,250
4900,-0.09206775800720308,-0.09090909090909094,-0.15067340067340065,-0.038461538461538436,0.11221186221186222,250
4950,-0.09391978893923401,-0.09090909090909094,-0.15067340067340065,-0.038846153846153836,0.11182724682724682,250
5000,-0.09500689978708655,-0.09090909090909094,-0.15067340067340065,-0.040000000000000036,0.11067340067340062,250
5050,-0.09698561133138207,-0.09232954545454547,-0.15384615384615385,-0.040000000000000036,0.11384615384615382,250
5100,-0.09876001314578389,-0.09523809523809523,-0.15564903846153846,-0.040000000000000036,0.11564903846153843,250
5150,-0.0999675332944805,-0.09677419354838712,-0.15748355263157898,-0.040000000000000036,0.11748355263157895,250
5200,-0.10098347694815234,-0.09999999999999998,-0.15947368421052635,-0.040000000000000036,0.11947368421052632,250
5250,-0.10245198128835761,-0.09999999999999998,-0.16000000000000003,-0.040000000000000036,0.12,250
5300,-0.103574099460041,-0.10344827586206895,-0.16000000000000003,-0.040000000000000036,0.12,250
5350,-0.10468840441434597,-0.1043557168784029,-0.16000000000000003,-0.040000000000000036,0.12,250
5400,-0.10606751556500883,-0.1071428571428571,-0.16666666666666663,-0.040416666666666684,0.12624999999999995,250
5450,-0.10688619209184805,-0.1071428571428571,-0.17097701149425287,-0.04211956521739127,0.1288574462768616,250
5500,-0.10891227423448191,-0.1071428571428571,-0.1724137931034483,-0.045454545454545414,0.12695924764890287,250
5550,-0.11051967544659755,-0.1071428571428571,-0.17353823088455772,-0.045454545454545414,0.1280836854300123,250
5600,-0.11306048257050813,-0.11111111111111116,-0.17391304347826086,-0.04599567099567098,0.1279173724825899,250
5650,-0.11476898995674371,-0.11538461538461542,-0.17391304347826086,-0.051339285714285754,0.12257375776397511,250
5700,-0.11585416736803807,-0.11651583710407243,-0.17391304347826086,-0.051339285714285754,0.12257375776397511,250
5750,-0.11758992630561188,-0.11882352941176472,-0.17391304347826086,-0.051339285714285754,0.12257375776397511,250
5800,-0.11910764176245778,-0.12,-0.17391304347826086,-0.0714285714285714,0.10248447204968947,250
